Year,Series,Unit,Value
2016,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%),,
2017,"Proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type",Percentage (%),73.7458
2018,"Proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type",Percentage (%),73.7458
2019,"Proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type",Percentage (%),73.7458
2020,"Proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type",Percentage (%),73.7458
2021,"Proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type",Percentage (%),73.7458
2022,"Proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type",Percentage (%),73.7458
2023,"Proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type",Percentage (%),73.7458
2016,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),79.8844
2017,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),79.8844
2018,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),79.8844
2019,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),79.8844
2020,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),79.8844
2021,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),79.8844
2022,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),79.8844
2023,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),79.8844
